Relative Effort,Average Heart Rate,Average Speed,Distance,Elapsed Time,Elevation Gain,Activity Name,Intensity
40.000000,139.000000,4.312000,12.540000,3011,58.000000,Afternoon Ride,Rankka
42.000000,137.000000,0.000000,0.000000,3500,0.000000,Morning Workout,Rankka
112.000000,145.000000,5.765000,34.730000,9779,150.000000,Afternoon Ride,Rankka
15.000000,120.000000,4.937000,18.550000,4137,85.000000,Afternoon Ride,Keskiverto
13.000000,114.000000,4.272000,17.460000,4203,184.000000,Night Ride,Keskiverto
15.000000,109.000000,0.000000,0.000000,4961,0.000000,Evening Workout,Keskiverto
23.000000,123.000000,0.000000,0.000000,4777,0.000000,Lunch Workout,Keskiverto
1.000000,98.000000,1.487000,0.890000,600,2.000000,Evening Walk,Kevyt
14.000000,129.000000,5.575000,13.460000,2616,67.000000,Afternoon Ride,Keskiverto
19.000000,120.000000,4.400000,22.560000,5894,80.000000,Evening Ride,Keskiverto
70.000000,139.000000,5.896000,30.560000,6763,152.000000,Afternoon Ride,Rankka
24.000000,123.000000,3.756000,16.710000,6957,75.000000,Afternoon Ride,Keskiverto
19.000000,127.000000,4.337000,12.930000,3583,81.000000,Evening Ride,Keskiverto
23.000000,119.000000,0.000000,0.000000,3570,0.000000,Evening Workout,Keskiverto
14.000000,109.000000,3.784000,16.960000,6829,100.000000,Evening Ride,Keskiverto
17.000000,110.000000,0.000000,0.000000,5427,0.000000,Afternoon Workout,Keskiverto
8.000000,95.000000,1.369000,0.000000,9565,38.300000,Evening Row,Keskiverto
10.000000,133.000000,4.630000,4.880000,1088,32.000000,Lunch Ride,Keskiverto
7.000000,117.000000,4.448000,8.020000,2483,24.000000,Afternoon Ride,Keskiverto
34.000000,129.000000,5.914000,27.790000,5063,121.000000,Evening Ride,Rankka
38.000000,134.000000,0.000000,0.000000,3700,0.000000,Afternoon Workout,Rankka
27.000000,157.000000,2.228000,2.020000,912,0.000000,Afternoon Run,Keskiverto
14.000000,109.000000,4.227000,18.900000,13096,62.000000,Afternoon Ride,Keskiverto
34.000000,125.000000,4.984000,26.390000,8327,201.000000,Lunch Ride,Rankka
33.000000,131.000000,0.000000,0.000000,3684,0.000000,Morning Workout,Rankka
5.000000,108.000000,3.672000,7.130000,2748,99.000000,Afternoon Ride,Kevyt
38.000000,122.000000,2.916000,19.340000,9353,45.000000,Evening Ride,Rankka
43.000000,133.000000,0.000000,0.000000,4270,0.000000,Afternoon Workout,Rankka
45.000000,128.000000,5.655000,39.420000,15038,152.000000,Afternoon Ride,Rankka
10.000000,109.000000,4.367000,15.330000,7363,53.000000,Evening Ride,Keskiverto
41.000000,114.000000,4.828000,54.910000,17489,265.000000,Afternoon Ride,Rankka
11.000000,109.000000,1.343000,0.000000,6628,39.700000,Afternoon Row,Keskiverto
43.000000,142.000000,6.286000,17.590000,3113,71.000000,Evening Ride,Rankka
41.000000,136.000000,0.000000,0.000000,3654,0.000000,Afternoon Workout,Rankka
9.000000,109.000000,3.914000,12.560000,6927,46.000000,Afternoon Ride,Keskiverto
28.000000,133.000000,0.000000,0.000000,3393,0.000000,Afternoon Workout,Keskiverto
15.000000,117.000000,4.568000,16.920000,8383,55.000000,Evening Ride,Keskiverto
24.000000,125.000000,5.265000,23.060000,4974,63.000000,Afternoon Ride,Keskiverto
245.000000,147.000000,4.461000,56.960000,18354,262.000000,Afternoon Ride,Rankka
43.000000,136.000000,0.000000,0.000000,3899,0.000000,Afternoon Workout,Rankka
7.000000,106.000000,1.550000,3.810000,2881,26.000000,Evening Walk,Keskiverto
8.000000,97.000000,1.383000,0.000000,3814,37.100000,Evening Row,Keskiverto
132.000000,137.000000,4.459000,44.770000,16648,448.000000,Morning Ride,Rankka
44.000000,122.000000,5.133000,44.140000,16440,261.000000,Morning Ride,Rankka
13.000000,112.000000,4.707000,17.710000,16043,113.000000,Afternoon Ride,Keskiverto
19.000000,117.000000,5.418000,25.150000,5689,114.000000,Lunch Ride,Keskiverto
51.000000,132.000000,5.281000,30.500000,6513,249.000000,Afternoon Ride,Rankka
62.000000,119.000000,0.943000,12.810000,26253,391.000000,Lunch Walk,Rankka
47.000000,113.000000,1.072000,13.660000,24846,315.000000,Morning Walk,Rankka
39.000000,109.000000,1.104000,13.570000,24522,150.000000,Morning Walk,Rankka
31.000000,114.000000,1.030000,9.030000,11830,116.000000,Morning Walk,Keskiverto
36.000000,131.000000,0.000000,0.000000,3718,0.000000,Afternoon Workout,Rankka
30.000000,131.000000,0.000000,0.000000,3682,0.000000,Morning Workout,Keskiverto
10.000000,112.000000,4.279000,13.170000,5965,66.000000,Evening Ride,Keskiverto
17.000000,151.000000,2.716000,1.950000,721,6.000000,Evening Run,Keskiverto
66.000000,148.000000,0.000000,0.000000,3368,0.000000,Afternoon Workout,Rankka
16.000000,113.000000,3.617000,17.540000,6104,68.000000,Evening Ride,Keskiverto
56.000000,143.000000,5.590000,18.070000,3273,100.000000,Afternoon Ride,Rankka
27.000000,129.000000,0.000000,0.000000,3696,0.000000,Afternoon Workout,Keskiverto
2.000000,94.000000,0.000000,0.000000,913,0.000000,Evening Pilates,Kevyt
43.000000,158.000000,2.362000,3.130000,1326,21.000000,Evening Run,Rankka
73.000000,141.000000,0.000000,0.000000,4424,0.000000,Afternoon Workout,Rankka
19.000000,120.000000,0.000000,0.000000,3521,0.000000,Evening Workout,Keskiverto
16.000000,109.000000,4.189000,22.370000,7382,102.000000,Evening Ride,Keskiverto
15.000000,115.000000,0.000000,0.000000,3742,0.000000,Afternoon Workout,Keskiverto
10.000000,119.000000,0.000000,0.000000,2576,0.000000,Morning Workout,Keskiverto
51.000000,130.000000,5.433000,38.670000,9878,197.000000,Afternoon Ride,Rankka
27.000000,125.000000,0.000000,0.000000,3594,0.000000,Afternoon Workout,Keskiverto
36.000000,134.000000,0.000000,0.000000,3382,0.000000,Afternoon Workout,Rankka
15.000000,123.000000,5.305000,16.770000,3806,99.000000,Afternoon Ride,Keskiverto
39.000000,139.000000,0.000000,0.000000,3004,0.000000,Afternoon Workout,Rankka
20.000000,121.000000,0.000000,0.000000,3549,0.000000,Evening Workout,Keskiverto
13.000000,103.000000,1.417000,6.890000,4994,29.000000,Lunch Walk,Keskiverto
41.000000,138.000000,0.000000,0.000000,3244,0.000000,Afternoon Workout,Rankka
62.000000,143.000000,0.000000,0.000000,3797,0.000000,Afternoon Workout,Rankka
41.000000,132.000000,0.000000,0.000000,3734,0.000000,Afternoon Workout,Rankka
21.000000,115.000000,0.000000,0.000000,3676,0.000000,Morning Workout,Keskiverto
9.000000,95.000000,1.152000,4.840000,7435,85.000000,Afternoon Walk,Keskiverto
28.000000,117.000000,0.000000,0.000000,5184,0.000000,Evening Workout,Keskiverto
42.000000,130.000000,0.000000,0.000000,3944,0.000000,Afternoon Workout,Rankka
102.000000,153.000000,0.000000,0.000000,4023,0.000000,Afternoon Workout,Rankka
40.000000,138.000000,0.000000,0.000000,3988,0.000000,Morning Workout,Rankka
65.000000,144.000000,0.000000,0.000000,3595,0.000000,Afternoon Workout,Rankka
35.000000,133.000000,0.000000,0.000000,3642,0.000000,Morning Workout,Rankka
34.000000,130.000000,0.000000,0.000000,3479,0.000000,Afternoon Workout,Rankka
74.000000,153.000000,0.000000,0.000000,2888,0.000000,Afternoon Workout,Rankka
56.000000,138.000000,0.000000,0.000000,4435,0.000000,Morning Workout,Rankka
